date,kappa,turnover,n_used,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WBA,WMT,XOM,AMGN,CRM,HON,AMZN,NVDA,SHW
2021-09-30,1.3845053298112078,0.23033564986746607,29,0.004923410093797987,0.0006956461728380828,0.00010448472622919548,0.0017686819406297642,0.023408837880386817,0.0006754470893919654,0.0005563853118247636,0.0003062448401562116,0.0010899587417166267,0.01745280120796532,0.003840734652904561,0.004631457411799551,0.0017093012194975303,0.001958717067889798,0.0024062290977940443,0.002285493722407852,0.1359100777301139,0.0038689070432754826,0.01064689009304267,0.13454355017410674,,0.005943864250655344,0.007490651599211623,0.004308791169905489,0.0013999007985881602,0.4762877717522565,0.028338252687107487,0.11876311051798107,,0.003202888450086609,0.0014815125564389487,,,,
2021-10-29,1.2300833168901064,1.4551469513833988,29,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,,0.034482758620689655,0.034482758620689655,,,,
2021-11-30,1.7137710533432402,2.0122792321330962e-16,29,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,,0.034482758620689655,0.034482758620689655,,,,
2021-12-31,1.4791318659510777,1.220243828970156,29,0.09563232990830647,4.630526082355728e-05,8.302075941179465e-05,0.0009856836883872372,0.03968063340711396,0.0008333263638060056,0.0004511059135858819,8.162066396924132e-05,0.0005208835041914608,0.008511176798127032,0.05123457903202275,0.0037481652354066364,0.010538139424347911,0.0007480970897459746,0.0015709511974959034,0.0017822589492375977,0.05971192735074722,0.03469177126691766,0.028703194101996867,0.19509478606482597,,0.00671115222383682,0.0001405271118665795,0.009236686699268446,0.0020098513400399446,0.3440724066290085,0.06586554979165271,0.022939792922871148,,0.012913849350413648,0.001460227950575034,,,,
2022-01-31,1.5155874329019237,0.5634888589767529,29,0.09918293152195025,4.053511265071601e-06,1.0461205011099658e-05,0.00029733185195073697,0.005139219937280421,0.0007423681700032247,0.00013687269491174115,3.693426715760483e-05,0.00011511787542734196,0.003501246519548397,0.00012014955736950047,0.0021405402880557145,0.1624155317533488,0.0002692984249729389,0.00042060483390520204,0.00031977868232271954,0.0017323813001653549,0.05887674926934541,0.09175743567446043,0.13930404160668922,,0.006428670651192077,4.279918546528887e-05,0.005867700221435996,0.001731154859786784,0.34401079995216177,0.00033435177619346604,0.03481510801242708,,0.040115750231698326,0.00013061616449822395,,,,
2022-02-28,1.7372482677825656,0.42001362295164313,29,0.12734359278426693,2.949651850172918e-06,2.9955701402739004e-05,0.00012961106653672504,0.0006173870630591179,0.0003246754691029617,0.00042111264970338475,4.425721346556535e-05,4.206365806645911e-05,0.00020275198876006838,0.0018344669863191874,0.0005379559183366312,0.17250209620195092,0.00020535294684835705,0.0010257226440554996,0.00027060880369940903,0.00010018295976171785,0.12769303004167729,0.0005524245465812396,0.12418415992328824,,0.004532722936744962,3.254915335924635e-05,0.00017500221242637136,0.00031442779168242024,0.2991405749902539,4.33738046447075e-05,0.13499603705903235,,0.002438454359250788,0.0002624994738724667,,,,
2022-03-31,1.7044151223954531,1.5717189820009396,30,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,,0.03333333333333333,0.03333333333333333,0.03333333333333333,,,
2022-04-29,1.7358206867752437,1.1492345655318246,30,0.020828317559417033,0.001193348841489175,0.0026680133782805205,0.0048103083228463765,0.017816997090301823,0.016677583290082853,0.006871396682815556,0.014392925764956719,0.004196223933651079,0.013106906013871227,0.13516290633454817,0.010329634360846968,0.3127328382616602,0.0048436386901283,0.014494501851018502,0.008371842104762299,0.010075152948736248,0.15878649294987005,0.0070672506978665586,0.0038826998667394934,,0.05107306733422951,0.007442411924699152,0.007653900909362501,0.004090906318787291,0.022653468043192113,0.007577388979436632,0.06566981873598962,,0.051192159149614905,0.0090559880235939,0.00528191163720524,,,
2022-05-31,1.7400382548455253,0.40540456152247767,30,0.002383811241556461,0.00045887705562708774,0.0008844832620742622,0.0031929214398324695,0.00388048362096463,0.02412010772444959,0.0022765567108377328,0.01910752977308379,0.002993341209802467,0.0020120074667344338,0.14368814074062397,0.0013454184804963536,0.418778525386782,0.004787499941973179,0.0031367034241494168,0.004901512310832136,0.007728864871032871,0.16920177871350064,0.0013090742784770929,0.0007683164872371819,,0.013984163321552827,0.012080605720695888,0.004108624122933678,0.0018691828845392327,0.014590143928185606,0.001675104800054344,0.016732160740884267,,0.09966250740644421,0.0006092383263461715,0.017732314608296117,,,
2022-06-30,1.7248323280810287,1.3959952378280347,30,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,,0.03333333333333333,0.03333333333333333,0.03333333333333333,,,
2022-07-29,1.6511551196059409,1.3459023526637017,30,0.00020624108469889408,0.00010911191713685513,8.361927181657802e-05,0.0004425587621305838,0.002457189976199543,0.06543533985063264,0.000886922551489388,0.02239888778306993,0.001342762949107259,0.0005300177784467101,0.15263012504769702,0.0004242034888646311,0.30429480683981797,0.002355618199496825,0.0010141363068458986,0.005446988745255855,0.02760258548491493,0.19669432323296898,0.0002693781884771935,0.00017598536576270932,,0.00385886781073576,0.01118282340015977,0.002052307828455934,0.0006030322516487522,0.02540049003468924,0.0005888913735916638,0.0175115288762505,,0.11103122841906173,0.00010467423890384267,0.0428653529416726,,,
2022-08-31,1.6199144127854024,0.22050429605470367,30,4.31626068879329e-05,4.424090917495528e-05,1.4414219216465372e-05,0.00015833079807520348,0.0010609634853176637,0.0859325391702471,0.00031393962463412026,0.0012983909423460124,0.0003420944300984562,0.00010841813525667308,0.14648404736321938,7.205491782091488e-05,0.3042948020680721,0.0006593898434799791,0.0009227102469687716,0.004911319531143899,0.00026401503633520013,0.19509794806593403,5.7235051403708564e-05,4.156188998349933e-05,,0.0019232115856550034,0.03945753333969132,0.0009094465804378116,0.00025302926168856545,0.025760382631548513,0.0002567166236823205,0.002751959585728883,,0.17215157459040825,5.0631144996826485e-06,0.014409504351043729,,,
2022-09-30,1.7066933102582262,0.029011818506618568,30,2.450735592443122e-05,5.4055931103695634e-05,9.099131451471448e-06,0.0001351386542875679,0.00038654550951526203,0.08865885226651961,0.0002191165015671028,0.0004077079479745963,0.0003283689334816077,3.7480413204112765e-05,0.14631286202572955,1.7214521491123323e-05,0.3043846453885981,0.0006452503498129315,0.0006993984744267361,0.004420350460556393,0.00029243766969758996,0.1963669804524812,3.595752591512259e-05,1.9112994873180704e-05,,0.0016594563242675374,0.04425634863514198,0.0005775156029400577,0.00024101926772426813,0.03134405013077016,7.466707656649737e-05,0.0014064860163058403,,0.17215156586468924,5.038843759188484e-06,0.004828769729223749,,,
2022-10-31,1.7089095330041184,0.014875934824249313,30,1.5156672294727701e-05,3.2447564519360514e-05,5.396316755421783e-06,8.517469784361652e-05,0.00025511797163107287,0.08669630256074806,0.00014220209113048065,0.0002710534136831553,0.0002171374955602964,2.329413047224808e-05,0.1463404655368928,1.0381104414724211e-05,0.3043317520104345,0.00043151897173033236,0.0004138413009488164,0.003439708639216157,0.00018493744794180462,0.19632769375121417,2.2203396574013002e-05,1.1673200690139403e-05,,0.0011509277938338944,0.050529218609707854,0.00037956987694735795,0.00016098691368225546,0.03248154405716573,4.6130168149096115e-05,0.0009572582305332286,,0.17172259443880858,2.955156603254164e-06,0.0033113564798729614,,,
2022-11-30,1.520541480599634,1.5118960538156119,30,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,,0.03333333333333333,0.03333333333333333,0.03333333333333333,,,
2022-12-30,1.2375197203605688,0.0,30,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,,0.03333333333333333,0.03333333333333333,0.03333333333333333,,,
2023-01-31,1.1598383658053415,1.4380470482563186,30,6.345711329249172e-05,0.00017688981058393277,3.387659339734144e-05,0.00034049958988761425,0.0008040912770740598,0.10316472076516625,0.0006298473210187912,0.001400910465630125,0.0007219694522859645,9.378805620527937e-05,0.04443442470754322,5.182003478655328e-05,0.3233600757991588,0.000933757228395073,0.002003493237896921,0.015898594848928357,0.0007900976088331182,0.13332898763683948,9.45362084099471e-05,5.5949522430614214e-05,,0.003446237358822638,0.23459061015096733,0.0008429018629688595,0.000545350924321202,0.016039719046944415,0.00019872713289312573,0.0024514240240295663,,0.06553786191785779,2.520381947138166e-05,0.0479401764839598,,,
2023-02-28,1.1014852189431044,1.4380470482563183,30,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,,0.03333333333333333,0.03333333333333333,0.03333333333333333,,,
2023-03-31,1.1660482327370503,0.0,30,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,,0.03333333333333333,0.03333333333333333,0.03333333333333333,,,
2023-04-28,1.0539396910535774,0.0,30,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,,0.03333333333333333,0.03333333333333333,0.03333333333333333,,,
