date,event,net_return,loss,turnover,kappa,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9
2023-10-27,daily,-0.006053308718818065,0.006053308718818065,0.0,,0.00040819947538584087,0.0002069347278199538,0.00020032816100582586,0.22383174741403195,0.298625727320993,0.00044703170059271825,0.000212982866865987,0.07081247177444927,0.401320789055591,0.0039337875032644
2023-10-30,daily,-0.0001608158273303779,0.0001608158273303779,0.0,,0.00040819947538584087,0.0002069347278199538,0.00020032816100582586,0.22383174741403195,0.298625727320993,0.00044703170059271825,0.000212982866865987,0.07081247177444927,0.401320789055591,0.0039337875032644
2023-10-31,daily,-0.00010945434880465717,0.00010945434880465717,0.14597710841172548,1.6602245674697271,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-01,daily,0.00420044760025721,-0.00420044760025721,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-02,daily,0.013721377792318076,-0.013721377792318076,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-03,daily,0.004991008137607352,-0.004991008137607352,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-06,daily,-0.0013526625368326397,0.0013526625368326397,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-07,daily,0.0023925241919454097,-0.0023925241919454097,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-08,daily,0.00018286362406478432,-0.00018286362406478432,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-09,daily,-0.013833218394231359,0.013833218394231359,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-10,daily,0.0008859169466946007,-0.0008859169466946007,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-13,daily,0.003828714361858999,-0.003828714361858999,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-14,daily,0.011132245679717575,-0.011132245679717575,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-15,daily,-0.0035800114358960355,0.0035800114358960355,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-16,daily,0.00820127212187128,-0.00820127212187128,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-17,daily,8.202363875325456e-05,-8.202363875325456e-05,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-20,daily,0.003762108721045058,-0.003762108721045058,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-21,daily,0.00597035304125288,-0.00597035304125288,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-22,daily,0.0018125820189315062,-0.0018125820189315062,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-24,daily,0.0014077831565592832,-0.0014077831565592832,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-27,daily,0.002841509262888907,-0.002841509262888907,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-28,daily,0.001982092979087731,-0.001982092979087731,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-29,daily,0.003386325014255041,-0.003386325014255041,0.0,,0.000346186802801127,0.00010743250930027398,4.34653056910566e-05,0.22509663988741646,0.29683206217713826,0.0004928742595311764,5.8952899881271096e-05,0.00010500170398237293,0.47299860822913087,0.003918776225127285
2023-11-30,daily,0.0025715180105426293,-0.0025715180105426293,0.06712111140241202,1.193573088158462,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
2023-12-01,daily,0.01027149060446128,-0.01027149060446128,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
2023-12-04,daily,-0.006511863101384276,0.006511863101384276,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
2023-12-05,daily,0.0019418801713572884,-0.0019418801713572884,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
2023-12-06,daily,0.0036078102476377813,-0.0036078102476377813,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
2023-12-07,daily,-0.0014030344547353594,0.0014030344547353594,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
