date,model,hhi,max_weight,n_eff
2023-07-31,C_stable,0.06846351599906181,0.09999999999999995,14.606319663946321
2023-08-31,C_stable,0.06990394581050967,0.09999999999999994,14.305344117637143
2023-09-29,C_stable,0.06993209388010717,0.09999999999999998,14.299586134435183
2023-10-31,C_stable,0.06436117392785917,0.09999999999999998,15.537317593381298
2023-11-30,C_stable,0.05604853378635239,0.1,17.841679923543268
2023-12-29,C_stable,0.055539320608214274,0.1,18.00526166054865
2024-01-31,C_stable,0.05427492180800868,0.1,18.424715627180184
2024-02-29,C_stable,0.046983458494040564,0.09999999999999995,21.28408661373537
2024-03-28,C_stable,0.045827130969095325,0.09999999999999996,21.821134748199164
2024-04-30,C_stable,0.04682683400796954,0.0934863447040022,21.355276759257485
2024-05-31,C_stable,0.05262811327667408,0.09942722458081658,19.001251189508665
2024-06-28,C_stable,0.051137695380102814,0.09551224280897976,19.555046283706606
2024-07-31,C_stable,0.0534697321516051,0.09590377236485435,18.702169615599637
2024-08-30,C_stable,0.0559980778249624,0.09335375677604547,17.857755816651043
2024-09-30,C_stable,0.05765758896382111,0.08654230187347797,17.343770663519738
2024-10-31,C_stable,0.05382475102608116,0.09998168168604983,18.578813295679584
2024-11-29,C_stable,0.056466101383284346,0.09980462362177912,17.70974045493479
2024-12-31,C_stable,0.05893395347341611,0.09999999999999998,16.968147240471136
