date,model,rcvar_train,cvar_holdout,oos_gap
2020-11-30,B_fixed_kappa,0.041366119194810855,0.011091238113844347,-0.030274881080966508
2020-12-31,B_fixed_kappa,0.03999122027132354,0.02608393947608851,-0.013907280795235032
2021-01-29,B_fixed_kappa,0.03964512887588213,0.016239100234373867,-0.023406028641508266
2021-02-26,B_fixed_kappa,0.08013067422859488,0.010014407291694293,-0.07011626693690058
2021-03-31,B_fixed_kappa,0.020393197521125374,0.009857941454924649,-0.010535256066200725
2021-04-30,B_fixed_kappa,0.03511418810107308,0.0169815209618538,-0.018132667139219277
2021-05-28,B_fixed_kappa,0.01816769250721081,0.011788501693403891,-0.006379190813806919
2021-06-30,B_fixed_kappa,0.02551946398623142,0.013735994421093415,-0.011783469565138004
2021-07-30,B_fixed_kappa,0.023689321960874435,0.010211424547213088,-0.013477897413661347
2021-08-31,B_fixed_kappa,0.01501853759458157,0.012590601727134068,-0.002427935867447502
2021-09-30,B_fixed_kappa,0.022867967267153958,0.010187876629846878,-0.01268009063730708
2021-10-29,B_fixed_kappa,0.018297423232716232,0.023042261397609266,0.0047448381648930345
2021-11-30,B_fixed_kappa,0.01954831875304666,0.011945849099200004,-0.0076024696538466545
2021-12-31,B_fixed_kappa,0.02048263425795661,0.014487501419986375,-0.005995132837970235
2022-01-31,B_fixed_kappa,0.018997909159069872,0.01672512217467524,-0.0022727869843946306
2022-02-28,B_fixed_kappa,0.018793038375407255,0.021341667761757138,0.002548629386349883
2022-03-31,B_fixed_kappa,0.02041583626805025,0.03379519458333849,0.013379358315288241
2022-04-29,B_fixed_kappa,0.02307474665663748,0.032595997360685906,0.009521250704048426
2022-05-31,B_fixed_kappa,0.02995073323298023,0.031173082638211717,0.0012223494052314883
2022-06-30,B_fixed_kappa,0.03154142460095676,0.009625381197303284,-0.02191604340365348
2022-07-29,B_fixed_kappa,0.018354127006116668,0.01761402816652634,-0.0007400988395903259
2022-08-31,B_fixed_kappa,0.03353695622656395,0.02839676176997237,-0.005140194456591578
2022-09-30,B_fixed_kappa,0.033596499500280055,0.02078587299066499,-0.012810626509615064
2022-10-31,B_fixed_kappa,0.033596499500280055,0.019557954191211313,-0.014038545309068742
